match_id,date,home_team,away_team,home_goals,away_goals,target,p_draw,p_home,p_away,predicted_class,correct,predicted_winner,actual_winner,year,match_type,brier,rps
2011,2018-07-02,Brazil,Mexico,2.0,0.0,1,0.2867909868370794,0.5058553206125702,0.20735369255035033,1,1,Brazil,Brazil,2018,knockout,0.3694235881121568,0.1435872589905855
2010,2018-07-02,Belgium,Japan,3.0,2.0,1,0.3003146938904771,0.6055045733574842,0.0941807327520388,1,1,Belgium,Belgium,2018,knockout,0.25468556743010246,0.08224832603178577
2012,2018-07-03,Sweden,Switzerland,1.0,0.0,1,0.2928651875705418,0.3308685657541783,0.3762662466752799,2,0,Switzerland,Sweden,2018,knockout,0.6750831827737016,0.2946565823414865
2013,2018-07-03,Colombia,England,1.0,1.0,0,0.2529023279735046,0.11522058356599292,0.6318770884605025,2,0,England,draw,2018,knockout,0.9706993693460186,0.20627221889930483
2014,2018-07-06,Uruguay,France,0.0,2.0,2,0.30403435023835995,0.32546801713993656,0.37049763262170343,2,1,France,France,2018,knockout,0.5946395468407436,0.2511013303579409
2015,2018-07-06,Brazil,Belgium,1.0,2.0,2,0.2500648648920757,0.29007372077747634,0.4598614143304479,2,1,Belgium,Belgium,2018,knockout,0.43842489186828537,0.1879462276073966
2016,2018-07-07,Sweden,England,0.0,2.0,2,0.2858971604924079,0.28532560153723824,0.4287772379703539,2,1,England,England,2018,knockout,0.48944332913098626,0.20385307137668232
2017,2018-07-07,Russia,Croatia,2.0,2.0,0,0.24716243896377746,0.2694219694714363,0.4834155915647862,2,0,Croatia,draw,2018,knockout,0.8730432251087679,0.15313941590089986
2018,2018-07-10,France,Belgium,1.0,0.0,1,0.22847711852267305,0.11484562113787347,0.6566772603394534,2,0,Belgium,France,2018,knockout,1.2669250923541509,0.6073616493328637
2019,2018-07-11,Croatia,England,2.0,1.0,1,0.22219628309800812,0.18615045639942873,0.5916532605025632,2,0,England,Croatia,2018,knockout,1.0617758485047422,0.5062023301410861
2020,2018-07-14,Belgium,England,2.0,0.0,1,0.25786095325240094,0.3581990972306962,0.3839399495169028,2,0,England,Belgium,2018,knockout,0.6258105548427721,0.27965914181526763
2021,2018-07-15,France,Croatia,4.0,2.0,1,0.2794217418995105,0.36637123980016983,0.3542070183003196,1,1,France,France,2018,knockout,0.6050245274117335,0.2634740087827884
