match_id,team,elo_pre,elo_post,tournament_type
5853,French Guiana,1702.02,1692.28,CONCACAF Nations League
5853,Honduras,1711.19,1714.85,CONCACAF Nations League
5848,Ghana,1536.77,1532.7,African Cup of Nations qualification
5848,Sudan,1440.01,1444.09,African Cup of Nations qualification
5849,DR Congo,1594.39,1593.05,African Cup of Nations qualification
5849,Tanzania,1450.95,1441.82,African Cup of Nations qualification
5851,Burkina Faso,1592.25,1611.04,African Cup of Nations qualification
5851,Burundi,1460.21,1450.65,African Cup of Nations qualification
5852,Cuba,1608.33,1611.27,CONCACAF Nations League
5852,Trinidad and Tobago,1713.55,1710.61,CONCACAF Nations League
5854,Algeria,1750.1,1766.86,African Cup of Nations qualification
5854,Togo,1443.55,1439.16,African Cup of Nations qualification
5862,Nicaragua,1801.64,1789.62,CONCACAF Nations League
5862,Jamaica,1730.46,1743.77,CONCACAF Nations League
5856,Saint Vincent and the Grenadines,1473.61,1469.07,CONCACAF Nations League
5856,El Salvador,1686.27,1686.16,CONCACAF Nations League
5857,Israel,1641.93,1640.57,UEFA Nations League
5857,France,2096.57,2112.88,UEFA Nations League
5858,Italy,1995.33,1999.22,UEFA Nations League
5858,Belgium,2138.16,2134.26,UEFA Nations League
5859,England,2217.38,2198.98,UEFA Nations League
5859,Greece,1793.11,1803.13,UEFA Nations League
5860,Finland,1685.76,1676.11,UEFA Nations League
5860,Republic of Ireland,1697.97,1701.56,UEFA Nations League
5861,Austria,1818.92,1831.23,UEFA Nations League
5861,Kazakhstan,1554.32,1550.74,UEFA Nations League
5846,Latvia,1488.2,1483.69,UEFA Nations League
5846,North Macedonia,1702.54,1717.77,UEFA Nations League
5855,Bonaire,1482.09,1473.43,CONCACAF Nations League
5855,Montserrat,1528.71,1531.54,CONCACAF Nations League
5845,Norway,1788.23,1805.52,UEFA Nations League
5845,Slovenia,1777.64,1767.95,UEFA Nations League
5850,Namibia,1456.42,1441.47,African Cup of Nations qualification
5850,Zimbabwe,1457.67,1463.42,African Cup of Nations qualification
5843,Faroe Islands,1406.48,1410.8,UEFA Nations League
5843,Armenia,1567.21,1562.89,UEFA Nations League
5844,Venezuela,1644.37,1655.04,FIFA World Cup qualification
5844,Argentina,1953.66,1942.99,FIFA World Cup qualification
5827,Moldova,1448.99,1456.88,UEFA Nations League
